County,Constitution,Democratic,Green,Justice for All,Libertarian,No Labels,Republican,Unaffiliated,We the People,White,Black,American Indian/,Asian,Native Hawaiian/,Multiracial,Other,Undesignated,Hispanic,Male,Female,Total
ALAMANCE,6,"38,041",34,1,687,242,"38,150","41,955",14,"76,451","24,552",273,"1,241",16,724,"5,452","10,421","6,968","49,190","59,520","119,130"
ALEXANDER,3,"3,977",4,1,125,57,"12,652","9,043",7,"22,480",966,39,158,2,42,424,"1,758",545,"11,593","12,415","25,869"
ALLEGHANY,0,"1,688",1,0,42,18,"3,549","3,013",1,"7,287",78,11,6,0,17,159,754,256,"3,686","3,936","8,312"
ANSON,1,"8,493",5,1,57,33,"3,354","4,715",3,"6,955","6,496",35,105,1,22,225,"2,823",169,"6,252","7,502","16,662"
ASHE,0,"3,675",5,0,105,29,"9,537","7,434",1,"18,931",122,25,58,3,20,243,"1,384",359,"9,263","10,202","20,786"
AVERY,0,"1,265",4,1,69,23,"7,299","4,158",2,"11,567",68,18,26,0,18,133,991,133,"5,697","6,225","12,821"
BEAUFORT,0,"10,083",7,3,131,56,"13,263","11,394",7,"24,272","7,099",42,62,2,71,787,"2,609",747,"14,814","17,351","34,944"
BERTIE,0,"7,488",1,1,39,20,"1,799","3,468",0,"4,627","7,073",18,31,1,17,78,971,56,"5,283","6,560","12,816"
BLADEN,0,"8,969",6,3,88,54,"5,878","8,647",3,"12,930","7,597",413,30,4,98,542,"2,034",653,"10,063","11,843","23,648"
BRUNSWICK,2,"28,238",32,4,731,261,"57,355","54,149",10,"116,737","9,278",408,585,11,259,"2,579","10,925","2,410","59,483","68,979","140,782"
BUNCOMBE,10,"74,433",213,7,"1,656",599,"45,885","94,098",34,"178,619","10,556",380,"1,647",50,"1,115","6,050","18,518","5,933","92,006","107,509","216,935"
BURKE,6,"12,381",19,1,368,99,"24,907","23,283",9,"50,687","3,168",101,"1,022",3,144,"1,542","4,406","1,563","26,666","29,715","61,073"
CABARRUS,8,"44,972",101,14,"1,187",638,"52,823","62,271",41,"99,562","33,354",427,"3,929",18,783,"7,804","16,178","8,256","67,477","78,954","162,055"
CALDWELL,5,"9,275",13,3,362,106,"27,888","18,521",7,"46,930","2,607",80,205,0,146,"1,024","5,188","1,252","24,794","27,432","56,180"
CAMDEN,1,"1,360",6,0,72,24,"3,396","3,949",2,"7,149",944,11,35,2,18,165,486,70,"3,995","4,283","8,810"
CARTERET,8,"9,285",16,0,370,82,"27,065","21,837",6,"50,642","2,251",105,322,8,151,833,"4,357",815,"25,374","28,658","58,669"
CASWELL,2,"5,876",1,0,64,21,"4,657","5,223",2,"9,803","4,570",23,35,1,50,251,"1,113",276,"6,910","7,792","15,846"
CATAWBA,9,"20,606",48,7,668,378,"50,667","44,568",28,"89,899","9,128",156,"2,743",10,360,"5,052","9,631","5,438","50,691","56,353","116,979"
CHATHAM,4,"21,457",25,0,317,126,"15,019","26,534",4,"46,134","5,973",132,"1,209",8,272,"2,300","7,458","2,606","25,971","30,076","63,486"
CHEROKEE,2,"3,269",5,0,158,32,"12,804","8,292",1,"22,798",253,121,98,1,35,277,980,269,"11,592","12,444","24,563"
CHOWAN,1,"3,555",3,1,46,28,"3,308","3,680",2,"6,933","2,834",15,16,6,27,126,667,98,"4,615","5,558","10,624"
CLAY,0,"1,390",1,1,56,4,"5,116","3,772",2,"9,715",45,16,16,0,12,82,456,99,"4,706","5,204","10,342"
CLEVELAND,2,"19,697",16,3,416,205,"27,822","22,704",13,"48,679","13,664",97,357,8,251,"1,307","6,515","1,226","29,904","34,607","70,878"
COLUMBUS,2,"13,382",8,1,119,49,"11,582","12,746",4,"22,700","10,481",977,65,4,93,656,"2,917",636,"16,110","18,973","37,893"
CRAVEN,8,"20,130",36,4,601,240,"29,565","28,833",8,"55,072","14,527",195,"1,317",9,305,"2,590","5,410","2,438","33,965","40,091","79,425"
CUMBERLAND,23,"88,350",131,24,"1,863","1,105","51,931","83,776",60,"89,735","88,494","2,466","3,693",113,"2,237","14,722","25,803","15,184","90,243","111,663","227,263"
CURRITUCK,0,"3,359",7,0,217,92,"10,658","10,818",5,"21,588","1,248",46,114,3,77,505,"1,575",284,"11,439","12,136","25,156"
DARE,3,"7,461",15,2,247,71,"11,897","14,510",3,"30,892",567,39,131,1,70,646,"1,863",410,"15,454","16,888","34,209"
DAVIDSON,13,"21,562",27,7,697,369,"58,513","40,107",28,"94,950","11,217",261,973,6,285,"3,403","10,228","3,714","52,084","58,981","121,323"
DAVIE,1,"4,672",15,2,161,95,"17,107","11,553",1,"28,121","1,969",43,143,0,87,771,"2,473",969,"14,824","16,512","33,607"
DUPLIN,4,"10,522",10,2,136,60,"10,457","11,406",3,"18,791","8,189",66,68,3,141,"1,811","3,531","2,575","13,705","15,948","32,600"
DURHAM,15,"128,494",162,14,"1,161",689,"24,097","96,250",38,"118,757","75,168",615,"9,631",43,"2,924","11,291","32,491","13,372","97,154","123,465","250,920"
EDGECOMBE,4,"20,226",8,4,114,114,"6,971","8,957",6,"12,379","19,370",63,52,2,106,678,"3,754",715,"14,281","18,438","36,404"
FORSYTH,24,"99,612",151,31,"1,688",977,"73,411","102,500",71,"164,436","67,772",551,"3,721",35,"1,624","12,252","28,074","15,270","113,003","138,639","278,465"
FRANKLIN,5,"17,127",12,0,399,156,"17,369","20,264",7,"34,704","12,554",152,362,6,207,"2,113","5,241","2,302","23,033","26,296","55,339"
GASTON,12,"41,660",61,4,"1,188",747,"62,940","56,799",39,"111,925","29,389",338,"1,469",15,701,"6,102","13,511","6,894","69,441","81,649","163,450"
GATES,0,"3,358",1,0,35,16,"2,300","2,791",3,"5,317","2,460",19,11,0,44,89,564,56,"3,698","4,176","8,504"
GRAHAM,1,"1,036",0,0,36,2,"3,232","1,978",1,"5,692",9,274,19,1,5,45,241,39,"2,961","3,104","6,286"
GRANVILLE,2,"15,607",8,2,221,119,"11,629","14,427",7,"22,973","11,234",79,181,4,203,"1,267","6,081","1,268","16,525","18,891","42,022"
GREENE,1,"4,676",1,1,27,37,"2,697","3,811",2,"6,107","3,747",11,20,1,25,526,816,577,"4,807","5,724","11,253"
GUILFORD,33,"159,097",207,44,"2,146","1,369","91,383","142,828",78,"197,970","132,180","1,012","10,597",60,"2,870","16,516","35,980","16,032","164,883","205,302","397,185"
HALIFAX,0,"20,202",6,3,110,98,"5,023","11,053",3,"13,918","18,528","1,033",180,5,132,432,"2,270",324,"15,523","18,744","36,498"
HARNETT,9,"24,624",54,10,806,442,"33,472","33,018",17,"56,747","18,383",504,788,27,562,"5,439","10,002","6,194","38,318","44,639","92,452"
HAYWOOD,4,"11,924",24,5,337,107,"17,083","18,573",8,"44,076",497,133,171,0,105,635,"2,448",716,"21,610","24,676","48,065"
HENDERSON,12,"17,612",42,4,618,211,"33,071","40,811",17,"79,926","2,456",158,590,16,410,"2,750","6,092","3,273","39,608","46,930","92,398"
HERTFORD,0,"8,738",4,1,42,30,"1,712","3,759",1,"4,618","8,420",94,43,3,60,155,894,107,"5,895","7,563","14,287"
HOKE,4,"13,877",23,5,314,134,"8,218","14,300",6,"14,094","13,215","2,050",388,20,257,"2,649","4,208","2,742","15,427","18,209","36,881"
HYDE,0,"1,308",0,0,14,3,718,"1,145",0,"2,391",554,2,2,0,8,52,179,71,"1,414","1,605","3,188"
IREDELL,7,"28,009",46,7,892,410,"60,486","56,198",25,"112,490","15,843",221,"1,683",12,463,"4,959","10,409","5,563","64,167","71,023","146,080"
JACKSON,5,"8,434",27,1,244,46,"8,896","13,690",4,"25,034",660,"1,563",250,8,196,727,"2,909",884,"13,388","15,021","31,347"
JOHNSTON,16,"41,288",80,11,"1,212",775,"60,625","60,702",45,"108,934","27,677",449,"1,124",28,650,"8,202","17,690","10,270","70,567","81,193","164,754"
JONES,2,"2,408",0,1,31,18,"2,442","2,450",4,"4,461","2,011",11,21,2,27,106,717,120,"3,116","3,537","7,356"
LEE,0,"12,438",17,2,309,140,"12,753","15,599",2,"26,251","7,507",146,303,8,280,"2,774","3,991","3,804","17,213","20,517","41,260"
LENOIR,1,"16,251",18,7,148,235,"10,904","11,854",8,"19,083","14,987",63,106,6,133,938,"4,110","1,001","15,753","19,592","39,426"
LINCOLN,9,"11,731",13,1,415,166,"33,630","24,361",11,"58,788","3,814",89,361,3,167,"1,850","5,265","2,328","31,065","33,798","70,337"
MACON,1,"4,952",7,2,201,23,"12,908","11,411",4,"26,943",205,67,123,0,69,594,"1,508",645,"13,666","15,331","29,509"
MADISON,2,"4,881",16,1,120,37,"5,096","7,603",3,"15,662",133,26,58,1,45,230,"1,604",213,"7,658","8,253","17,759"
MARTIN,1,"7,505",3,1,59,31,"3,637","5,526",2,"8,691","6,226",26,26,1,56,238,"1,501",231,"6,792","8,509","16,765"
MCDOWELL,1,"5,419",8,3,187,64,"14,004","11,753",6,"28,363",851,39,154,1,131,630,"1,276",691,"14,284","15,652","31,445"
MECKLENBURG,42,"332,522",489,86,"5,861","3,486","162,602","334,150",150,"419,915","250,663","2,167","24,962",92,"5,410","47,088","89,091","50,379","346,177","415,378","839,388"
MITCHELL,0,"1,044",2,0,56,16,"6,616","3,744",1,"10,220",46,13,17,1,16,102,"1,064",151,"5,053","5,546","11,479"
MONTGOMERY,0,"4,917",5,1,78,38,"6,712","5,961",7,"12,258","2,965",53,195,1,49,696,"1,502",891,"7,692","8,673","17,719"
MOORE,3,"15,133",21,1,620,158,"32,645","30,219",13,"63,057","7,483",381,704,10,258,"2,383","4,537","2,057","34,477","40,348","78,813"
NASH,6,"27,453",17,5,294,230,"20,103","22,766",13,"34,835","26,752",368,365,3,304,"2,098","6,162","2,102","29,176","35,544","70,887"
NEW HANOVER,11,"51,366",112,6,"1,444",567,"56,056","80,170",24,"143,211","19,033",435,"1,598",19,871,"4,884","19,705","4,665","76,988","91,409","189,756"
NORTHAMPTON,1,"7,651",2,0,36,32,"1,653","3,865",0,"5,147","7,030",33,10,0,20,96,904,77,"5,641","6,652","13,240"
ONSLOW,11,"24,021",54,4,"1,819",440,"52,080","57,978",36,"91,921","20,066",521,"1,932",66,919,"7,842","13,176","8,963","58,074","66,299","136,443"
ORANGE,2,"51,485",64,3,550,230,"13,871","48,177",10,"78,025","11,936",243,"5,672",6,"1,160","4,623","12,727","4,921","46,407","55,481","114,392"
PAMLICO,0,"2,763",5,1,55,19,"4,381","3,426",1,"8,281","1,455",29,46,1,20,130,689,137,"4,740","5,257","10,651"
PASQUOTANK,1,"10,785",11,0,211,110,"8,133","12,403",1,"17,577","10,050",45,160,2,174,746,"2,901",498,"13,203","15,511","31,655"
PENDER,2,"10,765",17,0,426,129,"21,201","19,362",10,"39,880","5,811",143,235,4,156,"1,423","4,260","1,521","22,515","24,871","51,912"
PERQUIMANS,1,"2,843",3,0,64,29,"3,791","4,022",3,"7,844","1,937",21,27,2,24,119,782,75,"4,613","5,320","10,756"
PERSON,1,"9,381",9,2,124,47,"8,697","10,429",6,"18,516","7,093",114,62,3,97,630,"2,181",640,"12,331","14,318","28,696"
PITT,11,"48,513",64,14,776,458,"31,912","46,742",14,"66,963","41,513",261,"1,148",12,750,"4,862","12,995","4,049","50,928","63,843","128,504"
POLK,2,"3,635",6,0,116,35,"6,611","6,995",3,"15,370",593,14,57,2,39,300,"1,028",336,"7,701","9,089","17,403"
RANDOLPH,5,"14,820",22,3,581,271,"51,651","31,753",13,"79,816","6,273",328,766,8,234,"4,070","7,624","4,771","43,564","48,579","99,119"
RICHMOND,4,"11,602",9,1,127,100,"8,055","9,583",2,"17,062","8,949",423,158,2,66,872,"1,951",677,"12,725","14,971","29,483"
ROBESON,7,"33,475",23,3,243,331,"15,597","29,255",17,"20,818","19,633","26,403",326,46,506,"3,237","7,982","2,574","32,829","40,671","78,951"
ROCKINGHAM,10,"17,271",19,5,337,152,"26,023","20,577",19,"44,946","11,448",104,230,0,187,"1,389","6,109","1,482","28,413","33,131","64,413"
ROWAN,8,"22,645",33,6,631,424,"43,631","34,275",33,"73,081","15,996",187,564,7,354,"3,267","8,230","3,716","43,593","49,689","101,686"
RUTHERFORD,2,"9,572",15,5,268,121,"20,990","16,900",8,"38,713","4,038",54,144,0,119,974,"3,839","1,013","20,553","23,672","47,881"
SAMPSON,7,"12,504",8,3,190,145,"16,042","10,416",5,"22,634","10,141",535,104,2,129,"2,548","3,227","3,218","17,069","20,023","39,320"
SCOTLAND,2,"9,584",12,3,78,78,"5,017","8,002",2,"9,843","8,146","1,813",165,17,113,306,"2,375",273,"9,091","11,469","22,778"
STANLY,2,"8,389",22,1,213,193,"22,391","15,324",30,"35,666","4,883",89,459,7,76,919,"4,466",894,"19,593","22,206","46,565"
STOKES,3,"5,053",12,0,215,48,"17,995","10,454",7,"29,011","1,256",56,79,2,87,465,"2,831",534,"16,082","17,603","33,787"
SURRY,2,"8,917",17,2,230,80,"23,456","16,475",6,"41,448","1,685",52,131,2,102,"1,679","4,086","2,333","21,604","24,226","49,185"
SWAIN,2,"2,757",10,1,73,25,"3,313","4,085",3,"7,694",107,"1,645",37,1,36,152,597,102,"4,638","5,126","10,269"
TRANSYLVANIA,1,"5,718",4,1,150,37,"8,784","12,466",6,"24,082",750,49,95,2,81,352,"1,756",296,"11,844","13,565","27,167"
TYRRELL,0,982,0,0,10,4,491,882,0,"1,439",642,3,21,0,5,47,212,44,"1,028","1,113","2,369"
UNION,10,"40,313",63,5,"1,191",529,"73,112","69,117",22,"124,254","20,044",544,"4,462",14,840,"8,604","25,600","9,584","76,934","85,177","184,362"
VANCE,0,"15,849",8,3,107,78,"5,410","7,623",9,"11,572","14,183",63,111,1,104,824,"2,229",866,"11,858","15,111","29,087"
WAKE,33,"293,638",493,50,"6,033","3,007","181,091","377,836",89,"517,730","152,463","2,253","36,885",88,"5,703","46,307","100,841","40,141","358,757","411,988","862,270"
WARREN,4,"7,713",2,0,41,26,"2,471","3,324",3,"5,672","6,278",543,31,2,44,197,817,150,"5,806","6,943","13,584"
WASHINGTON,0,"4,497",0,0,18,8,"1,494","2,170",2,"3,690","3,755",8,17,0,18,95,606,67,"3,400","4,202","8,189"
WATAUGA,3,"11,520",63,3,390,98,"12,826","21,518",6,"40,043",898,58,407,13,498,864,"3,646","1,449","19,998","23,038","46,427"
WAYNE,7,"26,667",24,7,454,439,"26,703","23,153",31,"42,546","23,871",138,566,6,399,"3,970","5,989","3,666","32,364","38,786","77,485"
WILKES,4,"6,583",9,1,207,89,"25,090","13,566",5,"39,493","1,631",53,141,0,115,909,"3,212","1,097","20,075","22,134","45,554"
WILSON,5,"24,678",14,6,251,181,"14,482","17,125",7,"27,587","22,197",121,293,2,170,"2,249","4,130","2,153","23,587","29,515","56,749"
YADKIN,3,"2,851",7,0,134,45,"14,680","7,964",5,"22,166",736,25,69,2,42,876,"1,773","1,105","11,433","12,498","25,689"
YANCEY,0,"3,638",6,1,88,25,"5,552","5,329",1,"13,228",77,31,30,1,23,161,"1,089",173,"6,568","7,149","14,640"
Totals,513,"2,446,918","3,590",492,"49,719","24,970","2,340,021","2,954,449","1,352","4,989,620","1,539,724","57,246","136,355","1,051","40,725","310,133","747,170","325,949","3,282,221","3,850,910","7,822,024"